id,A,B,C,lead_barium,high_potassium,light_green,light_blue,dark_green,deep_blue,purple,green,blue_green,black,none_weathered,weathered
1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0
2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
3,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0
4,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0
5,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0
6,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0
7,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
8,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
9,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
10,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
11,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1
12,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
13,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0
14,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
15,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0
16,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0
17,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0
18,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
19,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
20,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
21,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0
22,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
23,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
24,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
25,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1
26,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
27,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
28,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
29,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
30,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
31,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
32,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0
33,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
34,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
35,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0
36,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
37,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
38,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
39,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
40,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
41,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1
42,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
43,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1
44,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
45,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
46,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
47,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
48,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
49,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1
50,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1
51,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1
52,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1
53,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
54,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1
55,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
56,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
57,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
58,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
